Name,Amount,Company,Department,Country
Earl Wheeler,55.68,Parisian and Sons,Automotive,Indonesia
Steven Fields,281.39,Bergstrom LLC,Music,Mozambique
George Ross,72.45,Muller Group,Games,Philippines
Amy Ryan,382.44,Cummings and Sons,Automotive,Brazil
Jesse Coleman,219.09,Lebsack Inc,Shoes,Brazil
Howard Larson,249.54,Kassulke Inc,Grocery,Slovenia
Debra Mitchell,369.02,"Hagenes, Moore and Cartwright",Industrial,Thailand
Kevin Ortiz,238.24,"Hauck, Mitchell and Yundt",Jewelery,Peru
Lisa Sanders,135.89,"Rath, Kertzmann and Greenfelder",Outdoors,China
Christopher Martinez,115.79,"Kassulke, Wolff and Mante",Toys,China
Chris Simpson,346.12,Gorczany LLC,Clothing,Portugal
Sean Kelley,174.46,Cassin Inc,Books,Sweden
Eugene Rivera,339.83,Hickle and Sons,Electronics,Mexico
Lisa Fox,65,Wuckert LLC,Jewelery,Slovenia
Thomas Holmes,366.39,O'Keefe-Jaskolski,Toys,Mexico
Ernest Bell,338.88,Oberbrunner-Cruickshank,Automotive,Indonesia
Andrea Patterson,133.56,Hickle-Gerhold,Electronics,Russia
Steven Lewis,371.48,Little Group,Clothing,Mexico
Kathryn Cunningham,200.2,Corwin-Kautzer,Kids,Brazil
Cynthia Russell,206.06,"Waters, Mosciski and Bechtelar",Health,Iran
Evelyn Thompson,197.01,Thompson Group,Kids,Finland
Walter Campbell,385.57,"Bechtelar, Bartoletti and Stehr",Toys,Indonesia
Michelle Reed,173.85,Buckridge Group,Automotive,Mexico
Albert Spencer,240.29,Barrows Group,Jewelery,China
Matthew Henry,49.46,"Wolf, Bechtelar and Reinger",Outdoors,Portugal
Evelyn Carroll,218.93,Hirthe Group,Industrial,Norway
Laura Hansen,197.99,Rohan Group,Music,China
Brian Kelly,218.83,Kautzer-Ernser,Health,Sudan
Ruth Gilbert,70.8,Flatley-Lang,Tools,Portugal
Albert Carroll,52.82,Dach-Kilback,Movies,China
Ann Scott,397.86,Corwin Inc,Beauty,Nicaragua
Beverly Ramos,85.01,Nolan Inc,Outdoors,Indonesia
Melissa Watson,110.02,Schiller-Kuvalis,Beauty,China
Eugene Mcdonald,289.93,"Wiegand, Denesik and Keeling",Jewelery,Burkina Faso
Roy Mitchell,215.27,Turner and Sons,Garden,Ghana
Linda Perez,337.35,"Keeling, Doyle and Prohaska",Clothing,Indonesia
Amanda Hall,239.99,"Swaniawski, Wunsch and Lebsack",Books,Philippines
Carl Marshall,121.64,"Casper, Graham and Johnson",Music,Canada
Bruce Andrews,220.45,Lind Inc,Industrial,Greece
Jerry Harper,7.62,Marvin and Sons,Shoes,Indonesia
Gregory Graham,41.13,"Quigley, Flatley and Kuhn",Games,Canada
Carl Jackson,116.09,Borer-Lynch,Automotive,United States
Craig Hamilton,113.35,"Herzog, Bogisich and Zemlak",Jewelery,Peru
Earl Harris,262.38,Leuschke-Lueilwitz,Jewelery,Ukraine
Jonathan Washington,372.56,Botsford Group,Toys,Canada
Martin Morris,10.26,"Schumm, Hills and McLaughlin",Sports,Poland
Debra Snyder,272.06,"Feest, Rolfson and Hilll",Shoes,Palestinian Territory
Cheryl Smith,17.42,Pacocha-Pacocha,Clothing,Philippines
Martha Richards,127.34,Turner Group,Sports,Thailand
Albert Kennedy,64.65,Russel-Hoeger,Beauty,China
Joseph Davis,298.95,Jacobson-Crist,Outdoors,Greece
Craig Hamilton,361.44,Robel-Gleichner,Grocery,United States
Jack Ryan,112.03,Barrows-Klocko,Books,Cuba
Brenda Elliott,390.27,"Kub, Waters and Hansen",Outdoors,Philippines
Nancy Perez,205.25,Paucek LLC,Baby,Nigeria
Frances Watkins,98.14,Dickens Inc,Electronics,Tanzania
Jerry Myers,105.71,O'Keefe-Turner,Tools,Bolivia
Frank Knight,45.49,O'Connell-Wyman,Outdoors,France
Jane Baker,44.8,Baumbach-Stokes,Clothing,Russia
Christopher Chapman,352.72,Raynor Group,Outdoors,Indonesia
Debra Welch,83.19,Stracke-Erdman,Automotive,United States
Johnny Johnson,207.96,"Morar, Russel and Moore",Beauty,China
Frances Taylor,36.96,Wintheiser-Rau,Movies,Indonesia
Henry Wallace,52.35,Heidenreich LLC,Games,Philippines
John Torres,133.83,"Nicolas, Nitzsche and White",Kids,Greece
Jeffrey Watson,86.26,Ondricka-Mosciski,Industrial,China
Pamela Wells,143.84,"Ebert, Rogahn and MacGyver",Sports,Israel
Christopher Parker,192.58,Jakubowski-Ortiz,Books,Russia
Roger Nichols,150.21,Kilback-Keeling,Jewelery,Greece
Frances Wallace,37.22,Pfannerstill Inc,Beauty,Thailand
Ruby Diaz,273.74,Klein Group,Books,Sweden
Jessica Hernandez,363.52,Price-Anderson,Toys,Poland
Adam Murphy,249.1,"Schuppe, Marks and Turcotte",Games,Indonesia
Steven Parker,346.08,D'Amore-Johns,Garden,Finland
Keith Diaz,63.47,Mosciski Group,Baby,Russia
Jose Miller,182.18,"Zboncak, Hayes and Ratke",Tools,Japan
Billy Gordon,11.33,Russel-Miller,Electronics,Bangladesh
Edward Lawrence,257.93,Torphy-Hoeger,Electronics,China
Todd Fields,231.89,Reilly Group,Outdoors,Ivory Coast
Larry Castillo,81.61,"Breitenberg, Carroll and Reynolds",Outdoors,Philippines
Joyce Reynolds,190.46,Orn-Konopelski,Toys,Greece
Harold Roberts,115.64,"Rolfson, Reichel and Jacobi",Automotive,China
Albert Moore,109.95,Anderson Group,Garden,China
Jennifer Butler,115.36,Stark Inc,Toys,Sweden
Debra Hill,202.41,"Ward, Lebsack and Waelchi",Industrial,Indonesia
Julia Gonzalez,371.93,"Wilderman, Hintz and Bartell",Home,Serbia
Karen West,2.91,"Rutherford, Kuhlman and Barrows",Toys,Indonesia
Douglas Edwards,208.97,Schmeler-Kessler,Toys,Greece
Carl Bradley,392.82,Schoen Group,Industrial,Zimbabwe
Joshua Austin,278.35,Moore Group,Home,Indonesia
Melissa Snyder,138.34,"Welch, Waters and Gulgowski",Books,Malaysia
Joyce Tucker,368.76,Jones Inc,Home,Indonesia
Bonnie Parker,178.45,"Farrell, Maggio and Haag",Health,Sweden
Kevin Cruz,10.38,Waelchi LLC,Kids,Indonesia
Beverly Hayes,174.17,"Jacobson, West and Satterfield",Music,France
Jacqueline George,327.29,Greenfelder-Parisian,Grocery,Mexico
Diane Williams,235.56,Rutherford-Nicolas,Sports,Russia
Ruth Martin,34.43,"Cummings, Conroy and Harber",Beauty,Norway
Adam Howell,149.09,"Russel, Johns and Herman",Movies,China
Alice Bradley,145.01,"Schimmel, Feil and Goyette",Computers,Australia
Michelle Fields,197.51,Bednar LLC,Games,Ukraine
George Murray,233.09,White-Towne,Home,France
Jean Bryant,388.34,Franecki and Sons,Toys,Belarus
Jeffrey Foster,295.46,Schowalter and Sons,Jewelery,China
Carol Pierce,128.52,Nitzsche and Sons,Beauty,Russia
Debra Stanley,385.38,Bogisich-Rogahn,Kids,Azerbaijan
Katherine Mccoy,211.38,Feeney-Toy,Health,China
Bruce Reyes,392.98,Brown-Ritchie,Industrial,Brazil
Karen Ryan,13.71,Price Group,Grocery,China
Shirley Perkins,269.83,"Hyatt, Skiles and Howell",Games,China
Joshua Griffin,242.02,Wisozk Group,Baby,Kazakhstan
Amanda Matthews,246.18,"Feil, Stamm and Thompson",Kids,Brazil
Tammy Hanson,268.24,"Bayer, Mohr and Dooley",Toys,Zambia
Lisa Thompson,359.2,Gerlach LLC,Automotive,France
Norma Weaver,234.28,Rippin LLC,Electronics,United States
Karen Hall,387.25,Will and Sons,Health,Poland
Jimmy Barnes,151.61,Considine-Reichert,Computers,Chile
Robin Gardner,370.65,"Bartoletti, Abshire and Gutkowski",Clothing,Poland
Paula Gray,33.6,McKenzie-Goodwin,Baby,Philippines
Eric Martin,305.45,"Muller, Bernhard and Williamson",Baby,Chile
Terry Austin,269.26,Padberg and Sons,Computers,Dominican Republic
Bobby Mitchell,23.95,"Brown, Morissette and Wiegand",Grocery,France
Nicole Freeman,35.79,Armstrong Inc,Garden,Tunisia
Edward Brooks,187.57,O'Reilly and Sons,Music,Czech Republic
William Hill,312.83,"Mann, Rice and Rodriguez",Garden,Indonesia
Christina Reed,284.85,"Jacobs, Kling and Runolfsdottir",Baby,China
Ralph Simmons,324.61,Reynolds and Sons,Jewelery,China
Karen Harrison,104.34,Gulgowski-Lakin,Automotive,Kenya
Marie Robinson,4.13,Cronin Inc,Jewelery,Russia
Maria Ramirez,64.14,Smith and Sons,Electronics,Indonesia
Rachel Bailey,49.67,Kemmer-Glover,Garden,United States
Robert Stanley,28.8,"Kautzer, Ledner and Deckow",Music,Portugal
Andrea Martinez,52.19,Hirthe-Weber,Toys,Iran
Barbara Garcia,313.63,Schiller-Rodriguez,Clothing,Indonesia
Cheryl Bowman,338.4,Koepp Group,Books,Serbia
Ann Gray,378.82,Casper LLC,Baby,Indonesia
Carlos Carroll,387.21,"McCullough, Leannon and Schimmel",Grocery,Vietnam
Julia Reid,325.95,"Thiel, O'Reilly and Lind",Automotive,China
Henry Wright,312.53,"Morar, Nader and Langworth",Garden,Republic of the Congo
Ruth Hill,274.26,Hickle-Dach,Shoes,Japan
Nicole Gonzalez,199.33,Watsica LLC,Industrial,Ukraine
Craig Sanders,258.69,"Block, Mayert and Aufderhar",Movies,China
Linda Price,336.36,"Ankunding, Wuckert and Friesen",Shoes,China
Larry Shaw,284.58,"Nitzsche, Nienow and Rosenbaum",Books,Philippines
Teresa Palmer,367.13,Ruecker-Stokes,Outdoors,Panama
Dennis Harvey,282.28,Kovacek Group,Sports,Indonesia
Shirley Lynch,80.59,Abshire Group,Tools,Peru
Craig Sims,71.37,"Wisozk, Beatty and Ortiz",Shoes,France
George Lynch,255.98,Hyatt and Sons,Kids,Estonia
Ralph Scott,124.91,"Bode, Hoeger and Johnson",Outdoors,Portugal
Stephanie Wells,188.3,Cummings-Kilback,Electronics,China
William Mcdonald,95.38,Beatty-Zieme,Toys,Sweden
Jack Stephens,260.23,Kerluke-Bode,Books,Vietnam
Doris Parker,94.49,Harris Inc,Outdoors,China
Laura Mills,137.57,Bashirian LLC,Automotive,China
Lisa Meyer,267.14,"Rath, Gerhold and Streich",Shoes,Indonesia
Daniel Ramos,182.33,Jacobs-Bauch,Tools,China
Elizabeth Burns,104.57,Koelpin LLC,Industrial,Poland
Kathleen Murray,287.11,Parker Group,Electronics,Brazil
Frances Morales,334.95,Weissnat Inc,Beauty,Philippines
Harry Bailey,327.73,Rau and Sons,Home,Indonesia
Teresa Lopez,250.48,Wilderman-Steuber,Beauty,Russia
Marilyn Davis,388.14,Gorczany Group,Kids,Brazil
Cynthia Welch,327.25,"Pfannerstill, Hills and Howell",Baby,China
Samuel Watson,173.47,"Jenkins, Kilback and O'Keefe",Automotive,Philippines
Julie Murphy,281.91,"Hand, Rosenbaum and Skiles",Industrial,China
Evelyn Gomez,96.53,Larson-Paucek,Home,Chile
Willie Gardner,7.21,"Daugherty, Osinski and Swaniawski",Garden,France
Alan Williams,382.82,Doyle-Hettinger,Movies,Philippines
Kathryn Johnson,315.03,"Douglas, Pouros and Casper",Sports,Spain
Bonnie Wilson,211.08,Stamm and Sons,Books,China
Joyce Ruiz,155.95,Baumbach-Littel,Baby,China
Brenda Lynch,4.31,Jerde Group,Jewelery,Kyrgyzstan
Ronald Ward,263.02,"Turcotte, Runolfsson and Herman",Movies,Egypt
